game_id,game_date,game_datetime,category_id,status_code,status_info,stadium,home_team_code,home_team_name,away_team_code,away_team_name,home_score,away_score,home_starter_name,away_starter_name,win_pitcher_name,lose_pitcher_name,broad_channel,manual_relay_url,round_code,title
20250415HHSK02025,2025-04-15,2025-04-15T18:30:00,kbo,RESULT,9회말,문학,SK,SSG,HH,한화,0,2,,,폰세,앤더슨,,,kbo_r,
20250416HHSK02025,2025-04-16,2025-04-16T18:30:00,kbo,RESULT,9회말,문학,SK,SSG,HH,한화,4,10,김광현,,와이스,김광현,,,kbo_r,
20250417HHSK02025,2025-04-17,2025-04-17T18:30:00,kbo,RESULT,9회말,문학,SK,SSG,HH,한화,2,4,화이트,류현진,류현진,이로운,,,kbo_r,
20250418NCHH02025,2025-04-18,2025-04-18T18:30:00,kbo,RESULT,9회초,대전,HH,한화,NC,NC,12,4,엄상백,,엄상백,로건,,,kbo_r,
20250419NCHH02025,2025-04-19,2025-04-19T17:00:00,kbo,RESULT,5회초,대전,HH,한화,NC,NC,7,2,문동주,라일리,문동주,라일리,,,kbo_r,
20250420NCHH02025,2025-04-20,2025-04-20T14:00:00,kbo,RESULT,9회초,대전,HH,한화,NC,NC,7,1,,이용찬,폰세,이용찬,,,kbo_r,
20250422HHLT02025,2025-04-22,2025-04-22T18:30:00,kbo,BEFORE,경기취소,사직,LT,롯데,HH,한화,0,0,,,,,,,kbo_r,
20250423HHLT02025,2025-04-23,2025-04-23T18:30:00,kbo,RESULT,9회말,사직,LT,롯데,HH,한화,4,6,,,와이스,반즈,,,kbo_r,
20250424HHLT02025,2025-04-24,2025-04-24T18:30:00,kbo,RESULT,9회초,사직,LT,롯데,HH,한화,5,3,박세웅,류현진,박세웅,류현진,,,kbo_r,
20250425KTHH02025,2025-04-25,2025-04-25T18:30:00,kbo,RESULT,9회말,대전,HH,한화,KT,KT,1,2,엄상백,소형준,손동현,김서현,,,kbo_r,
20250426KTHH02025,2025-04-26,2025-04-26T17:00:00,kbo,RESULT,9회초,대전,HH,한화,KT,KT,2,1,문동주,고영표,문동주,고영표,,,kbo_r,
20250427KTHH02025,2025-04-27,2025-04-27T14:00:00,kbo,RESULT,9회초,대전,HH,한화,KT,KT,4,3,,오원석,폰세,오원석,,,kbo_r,
20250429LGHH02025,2025-04-29,2025-04-29T18:30:00,kbo,RESULT,9회초,대전,HH,한화,LG,LG,3,2,,송승기,와이스,송승기,,,kbo_r,
20250430LGHH02025,2025-04-30,2025-04-30T18:30:00,kbo,RESULT,9회초,대전,HH,한화,LG,LG,5,2,류현진,치리노스,류현진,김진성,,,kbo_r,
20250501LGHH02025,2025-05-01,2025-05-01T18:30:00,kbo,BEFORE,경기취소,대전,HH,한화,LG,LG,0,0,엄상백,손주영,,,,,kbo_r,
20250502HHHT02025,2025-05-02,2025-05-02T18:30:00,kbo,RESULT,11회말,광주,HT,KIA,HH,한화,2,3,올러,엄상백,정우주,임기영,,,kbo_r,
20250503HHHT02025,2025-05-03,2025-05-03T14:00:00,kbo,BEFORE,경기취소,광주,HT,KIA,HH,한화,0,0,네일,문동주,,,,,kbo_r,
20250504HHHT02025,2025-05-04,2025-05-04T14:00:00,kbo,RESULT,9회말,광주,HT,KIA,HH,한화,1,3,네일,,폰세,조상우,,,kbo_r,
20250505SSHH02025,2025-05-05,2025-05-05T14:00:00,kbo,RESULT,9회초,대전,HH,한화,SS,삼성,3,1,,최원태,와이스,최원태,,,kbo_r,
20250506SSHH02025,2025-05-06,2025-05-06T14:00:00,kbo,RESULT,9회초,대전,HH,한화,SS,삼성,3,1,류현진,원태인,류현진,원태인,,,kbo_r,
20250507SSHH02025,2025-05-07,2025-05-07T18:30:00,kbo,RESULT,9회초,대전,HH,한화,SS,삼성,10,6,문동주,이승현,문동주,이승현,,,kbo_r,
20250509HHWO02025,2025-05-09,2025-05-09T18:30:00,kbo,RESULT,9회말,고척,WO,키움,HH,한화,5,7,하영민,엄상백,한승혁,주승우,,,kbo_r,
20250510HHWO02025,2025-05-10,2025-05-10T14:00:00,kbo,RESULT,9회말,고척,WO,키움,HH,한화,1,9,김선기,,폰세,김선기,,,kbo_r,
20250511HHWO02025,2025-05-11,2025-05-11T14:00:00,kbo,RESULT,9회말,고척,WO,키움,HH,한화,0,8,김윤하,,와이스,김윤하,,,kbo_r,
20250513OBHH02025,2025-05-13,2025-05-13T18:30:00,kbo,RESULT,11회말,대전,HH,한화,OB,두산,3,4,류현진,최원준,이영하,김종수,,,kbo_r,
20250514OBHH02025,2025-05-14,2025-05-14T18:30:00,kbo,RESULT,9회말,대전,HH,한화,OB,두산,1,7,문동주,잭로그,김민규,문동주,,,kbo_r,
20250515OBHH02025,2025-05-15,2025-05-15T18:30:00,kbo,RESULT,9회말,대전,HH,한화,OB,두산,2,8,엄상백,최승용,박정수,엄상백,,,kbo_r,
